farm_id,crop_type,county,irrigation_type,cooperative_member,farm_size_acres,years_farming_experience,num_workers_employed,rainfall_mm,soil_quality_score,market_distance_km,machinery_value_kes,fertilizer_spend_kes,pesticide_spend_kes,irrigation_maintenance_cost_kes,annual_farm_income_kes
50,Maize,Meru,None,Yes,6.15,5.0,1,868.0,51.65486980872387,6.9,101409.0,8385.0,9432.0,,151596.0
51,Maize,Nakuru,Drip,Yes,1.6,22.4,2,861.0,47.70417566935817,7.4,23932.0,4944.0,2873.0,1831.1664729672439,432505.0
52,Maize,Meru,Manual,No,5.53,14.8,3,1047.0,52.81283555981447,1.0,47696.0,19751.0,11127.0,5009.514146770955,227648.0
53,Horticulture,Kericho,Manual,No,1.32,6.6,1,882.0,55.948701505501894,16.4,0.0,3199.0,729.0,11333.009817841554,184581.0
54,Horticulture,Nakuru,Drip,Yes,8.02,13.8,2,567.0,86.43672615814407,20.9,63254.0,23845.0,14397.0,5640.618238973513,361606.0
55,Maize,Other,Manual,Yes,3.78,33.1,0,931.0,46.074959996191645,25.9,9653.0,11083.0,5053.0,10909.537861023386,413271.0
56,Maize,Kericho,Automated,No,21.29,32.7,6,625.0,44.52840670652376,29.8,171157.0,75516.0,24284.0,5154.83750645642,415420.0
57,Maize,Uasin Gishu,Manual,No,3.79,26.5,1,451.0,60.91222176350034,46.9,55652.0,7008.0,1087.0,3411.2425841531517,234854.0
58,Maize,Other,Automated,Yes,2.92,4.9,1,794.0,44.35298317747459,37.5,1819.0,13487.0,4032.0,3116.262815426696,142564.0
59,Coffee,Other,Manual,Yes,3.18,16.5,0,663.0,78.85895955246413,20.3,40368.0,11876.0,2673.0,19943.92998380282,193411.0
60,Horticulture,Meru,Drip,Yes,5.34,4.5,2,1328.0,5.0,29.6,37118.0,16004.0,8724.0,25210.389580397015,287822.0
61,Dairy,Nakuru,Drip,Yes,8.65,3.7,3,1086.0,75.32559934008557,16.2,29757.0,26934.0,14477.0,10842.310565790976,295660.0
62,Dairy,Kiambu,Manual,No,11.34,6.8,4,1062.0,57.32268538185916,2.1,91836.0,35748.0,10518.0,2147.984457986785,153357.0
63,Tea,Other,Manual,Yes,13.07,20.1,3,782.0,59.379380928521186,21.5,85157.0,51760.0,16335.0,10147.993910749761,197869.0
64,Horticulture,Kiambu,None,No,23.87,6.2,6,960.0,80.6947580857568,19.0,249331.0,52015.0,49584.0,,287066.0
65,Dairy,Kericho,Drip,Yes,4.22,14.2,1,843.0,49.72079795807972,13.5,10468.0,13156.0,5579.0,22557.16569948338,173733.0
66,Maize,Other,None,No,5.35,7.1,1,637.0,50.92980258247067,16.1,39242.0,13698.0,8325.0,,73203.0
67,Tea,Nakuru,None,Yes,10.41,7.5,3,1128.0,60.807350341163534,7.1,94086.0,35686.0,13994.0,,378109.0
68,Dairy,Meru,None,Yes,6.28,7.1,0,501.0,65.44713074264826,28.0,48278.0,13312.0,5762.0,,109881.0
69,Maize,Meru,None,Yes,1.23,21.2,3,976.0,50.72584257834497,28.8,26081.0,3622.0,2573.0,,157159.0
70,Horticulture,Other,Manual,No,7.3,7.2,2,826.0,79.98448416813062,8.1,73923.0,13698.0,16453.0,6936.167601429019,219664.0
71,Horticulture,Meru,None,Yes,3.77,13.5,2,1089.0,43.29883530484416,21.5,28663.0,12344.0,7449.0,,213416.0
72,Coffee,Kiambu,Automated,No,7.02,20.2,3,1127.0,61.14486363002947,11.5,84310.0,32566.0,417.0,13062.072078321135,593562.0
73,Dairy,Meru,None,No,13.32,10.9,3,1256.0,53.66432526513126,14.7,108475.0,44816.0,19913.0,,257638.0
74,Horticulture,Meru,Drip,No,3.18,9.0,0,658.0,83.86083497325558,14.1,44653.0,10125.0,4759.0,13488.842371547184,229073.0
75,Dairy,Other,None,Yes,8.39,10.7,2,979.0,81.83792171627513,11.7,110253.0,27136.0,18456.0,,161354.0
76,Coffee,Nakuru,Manual,No,3.35,17.3,2,935.0,41.59447583411951,15.1,56387.0,11826.0,4227.0,12857.136012598074,1232762.0
77,Dairy,Nakuru,Manual,No,3.11,9.1,2,953.0,45.699842089241685,19.7,35636.0,7719.0,4732.0,2236.8367417596633,226066.0
78,Coffee,Kiambu,Manual,Yes,9.67,7.3,4,722.0,47.222982336200424,6.7,83908.0,25752.0,12323.0,7164.845530845622,134078.0
79,Horticulture,Kericho,Automated,Yes,2.91,11.7,1,975.0,65.27332489380234,18.9,24924.0,10424.0,5234.0,4077.6482815882555,385767.0
80,Maize,Kericho,Manual,Yes,5.43,4.4,1,855.0,100.0,1.9,69218.0,20304.0,7113.0,9954.113836255807,181707.0
81,Coffee,Meru,None,No,5.79,9.2,4,988.0,54.47390317958012,2.7,53236.0,15287.0,11357.0,,128129.0
82,Maize,Nakuru,Automated,Yes,11.71,6.8,3,1062.0,71.41463334247416,10.7,119112.0,27982.0,24435.0,5636.501627466412,400613.0
83,Maize,Kericho,Drip,Yes,11.26,4.2,4,952.0,80.8032075196893,21.0,69985.0,35780.0,20008.0,1988.125830706154,116485.0
84,Dairy,Meru,None,Yes,6.39,17.9,1,874.0,73.6263665784834,45.4,72230.0,22453.0,5545.0,,203369.0
85,Tea,Other,None,No,0.5,4.8,0,764.0,49.3755904316369,22.8,0.0,1622.0,432.0,,128151.0
86,Maize,Kericho,None,Yes,8.45,7.7,2,1205.0,69.7818197330623,1.0,70090.0,34601.0,15349.0,,157074.0
87,Maize,Uasin Gishu,None,Yes,6.67,22.1,2,844.0,,8.5,77209.0,13573.0,7554.0,,212502.0
88,Horticulture,Nakuru,Drip,No,6.28,21.5,2,1096.0,68.52825604628732,9.1,38332.0,20883.0,7559.0,8988.968580858133,553530.0
89,Maize,Meru,None,No,11.73,3.7,3,682.0,54.50035681492291,18.1,148553.0,13471.0,17492.0,,101565.0
90,Horticulture,Other,Automated,Yes,6.32,40.3,3,862.0,39.89037908309633,13.1,6910.0,26728.0,5013.0,15944.85956280078,933500.0
91,Maize,Nakuru,None,Yes,1.8,25.1,0,774.0,45.0969618119278,6.7,29288.0,9358.0,2038.0,,196488.0
92,Dairy,Kiambu,None,No,4.49,11.1,2,1396.0,43.07818693794964,21.4,36556.0,17169.0,8939.0,,181425.0
93,Coffee,Other,Manual,No,4.13,8.8,0,769.0,77.14930533761027,21.1,31604.0,13919.0,6734.0,9494.118268920092,682621.0
94,Maize,Uasin Gishu,Automated,No,6.06,5.9,4,1253.0,70.40853574427632,13.9,63481.0,19864.0,9231.0,2535.9488211729454,230543.0
95,Coffee,Uasin Gishu,Drip,No,8.91,18.2,3,1061.0,73.50089269277882,13.2,106959.0,28827.0,10887.0,23910.43690857609,217953.0
96,Maize,Meru,Drip,Yes,20.5,15.1,3,808.0,55.9169545703228,7.6,169948.0,82502.0,26524.0,4041.218380976372,215640.0
97,Maize,Kiambu,Manual,No,12.67,18.7,0,1059.0,99.66967624421282,7.3,167855.0,42467.0,2530.0,2324.8582489458563,329129.0
98,Coffee,Nakuru,None,No,7.22,3.9,1,660.0,56.985905423722635,15.4,64664.0,27290.0,9947.0,,130695.0
99,Coffee,Other,Drip,Yes,9.23,17.5,2,857.0,60.627730111579616,27.6,99574.0,38593.0,8774.0,9543.971573987474,326099.0
100,Coffee,Other,Manual,Yes,3.93,22.0,0,939.0,70.5128981634531,23.4,41943.0,10340.0,6714.0,3315.4150915835876,338417.0
101,Maize,Kiambu,Drip,No,4.73,7.1,0,741.0,58.1444434464617,8.1,90016.0,13799.0,10572.0,12161.380664038958,238553.0
102,Horticulture,Meru,None,Yes,12.63,2.7,6,792.0,,5.8,143046.0,43201.0,24409.0,,178574.0
103,Maize,Meru,None,No,5.23,21.0,2,817.0,48.408094860512314,31.3,68567.0,22714.0,5367.0,,143339.0
104,Coffee,Kiambu,None,Yes,5.57,17.7,1,988.0,95.83995975920476,46.3,71790.0,16251.0,3724.0,,226002.0
105,Horticulture,Nakuru,Manual,No,8.22,19.9,1,1013.0,94.30422123740911,6.6,107837.0,36015.0,10563.0,9806.481077860564,400056.0
106,Tea,Nakuru,Drip,No,10.11,13.1,2,1340.0,57.64332083558185,11.4,97799.0,23804.0,12163.0,10007.062065479717,316970.0
107,Horticulture,Meru,Drip,Yes,5.41,26.8,2,952.0,79.63154117870792,11.4,18690.0,22856.0,6289.0,11437.93333182505,670956.0
108,Tea,Kiambu,Drip,Yes,12.73,7.7,1,1150.0,58.94312069526807,43.1,107048.0,29632.0,9119.0,5328.07868784077,252463.0
109,Tea,Kiambu,Drip,Yes,4.19,17.1,0,1094.0,54.27473989146793,5.4,31396.0,17668.0,9580.0,1994.504601038353,298992.0
110,Coffee,Kiambu,Drip,Yes,4.91,24.7,1,982.0,54.88101344478205,10.7,48507.0,15931.0,6539.0,11579.23000179527,541781.0
111,Coffee,Nakuru,None,No,2.11,4.0,1,1266.0,75.8068270819389,4.8,15161.0,6941.0,3262.0,,159257.0
112,Maize,Other,None,Yes,3.53,14.8,0,1298.0,65.36676121117367,3.1,40520.0,11733.0,6502.0,,352703.0
113,Coffee,Meru,None,No,10.61,11.5,5,408.0,26.850269629493376,7.3,125491.0,50195.0,18979.0,,88331.0
114,Coffee,Nakuru,Manual,Yes,4.49,30.7,2,759.0,,26.9,39617.0,9206.0,8326.0,14699.83297892831,405360.0
115,Maize,Nakuru,None,No,7.2,5.1,1,1352.0,73.41685264256081,11.5,63483.0,26224.0,9041.0,,121398.0
116,Maize,Nakuru,None,No,6.8,14.4,1,436.0,94.2688493602596,36.5,45018.0,15395.0,12856.0,,147379.0
117,Tea,Uasin Gishu,Drip,Yes,5.13,32.6,1,1112.0,50.729271346638924,19.9,44505.0,11953.0,7847.0,2942.7663607993964,360108.0
118,Dairy,Kericho,Drip,No,8.47,10.9,3,864.0,73.50844964530336,11.9,54120.0,20246.0,3469.0,5251.389402019181,501346.0
119,Coffee,Other,Drip,Yes,3.6,6.9,0,751.0,69.66576818525026,24.4,25671.0,12341.0,7813.0,10914.433837847835,141143.0
120,Coffee,Meru,None,Yes,16.44,1.4,4,1277.0,9.330673061099006,8.9,182946.0,54512.0,9204.0,,177588.0
121,Tea,Kericho,Drip,No,20.3,3.3,7,1041.0,61.39538423831744,32.9,256190.0,50030.0,34583.0,15683.379039672544,283440.0
122,Dairy,Meru,None,Yes,4.91,4.3,2,645.0,100.0,1.0,56432.0,17417.0,9557.0,,322266.0
123,Tea,Kericho,Manual,No,7.81,2.3,3,812.0,55.76272235105287,10.9,64923.0,28167.0,12194.0,9606.636290897372,162387.0
124,Horticulture,Nakuru,Drip,Yes,26.45,14.4,6,1110.0,62.11840281517302,25.3,289277.0,133274.0,24737.0,14513.388107102788,236089.0
125,Coffee,Nakuru,Drip,No,14.68,5.5,6,1203.0,60.267210013049464,14.7,105456.0,48235.0,17974.0,5644.769607905012,259956.0
126,Coffee,Uasin Gishu,Drip,No,6.69,31.9,1,1123.0,62.65446350195823,12.4,89177.0,20186.0,8719.0,8226.574852617168,486534.0
127,Maize,Other,Automated,Yes,6.2,15.4,2,944.0,62.37572484348731,14.6,26341.0,19894.0,5347.0,2609.039547043032,236040.0
128,Maize,Other,None,Yes,8.91,14.2,0,888.0,77.82650642014636,15.0,63088.0,27204.0,14298.0,,110819.0
129,Horticulture,Kiambu,None,No,4.53,8.4,0,1087.0,93.40541498591476,18.0,57324.0,21543.0,8526.0,,330334.0
130,Tea,Nakuru,Automated,Yes,17.45,10.2,4,833.0,79.57942232137684,4.7,158988.0,69346.0,5282.0,8407.554500515813,328970.0
131,Horticulture,Meru,Drip,No,22.31,21.3,4,970.0,18.5514871865914,1.9,117674.0,88275.0,24737.0,6371.084588235616,302020.0
132,Maize,Other,Drip,No,8.35,10.8,4,1078.0,59.62759604278135,30.2,82812.0,27722.0,6705.0,9008.719921528702,109118.0
133,Maize,Nakuru,Manual,No,5.19,18.3,2,1198.0,78.37728243237946,11.9,5958.0,16271.0,7946.0,5330.6645827088105,291168.0
134,Dairy,Other,None,Yes,20.42,13.5,5,1144.0,64.52481725865215,6.5,104649.0,61595.0,36135.0,,248228.0
135,Tea,Meru,None,No,1.87,12.6,1,1113.0,,13.7,17218.0,3880.0,3107.0,,217920.0
136,Tea,Kericho,None,No,7.85,22.0,1,1432.0,48.34301059804295,8.7,89273.0,52125.0,14917.0,,223622.0
137,Tea,Kiambu,Manual,Yes,6.18,45.0,1,834.0,75.72446140674286,17.1,53041.0,15919.0,8822.0,8055.506352237082,618865.0
138,Coffee,Kiambu,None,No,3.86,18.0,1,1554.0,36.84661151998088,10.0,36607.0,9912.0,10707.0,,262831.0
139,Horticulture,Kiambu,Drip,No,2.22,13.0,2,1138.0,41.77578872905694,11.8,10738.0,6960.0,2631.0,6887.468530784568,205766.0
140,Tea,Kericho,None,Yes,7.58,12.4,4,841.0,52.45662956641803,8.4,76811.0,30159.0,9434.0,,225069.0
141,Horticulture,Meru,Drip,No,20.31,9.0,5,1123.0,35.225970927406166,14.1,176654.0,103322.0,14743.0,2114.0395602542153,157431.0
142,Tea,Uasin Gishu,None,No,4.02,5.5,0,1445.0,31.40448243118984,21.0,48145.0,12037.0,7195.0,,190328.0
143,Coffee,Uasin Gishu,Manual,Yes,3.86,15.0,0,964.0,65.4684135153521,23.9,0.0,6995.0,3567.0,8607.145714467475,335851.0
144,Horticulture,Kiambu,Manual,No,1.54,16.7,1,1348.0,62.58686585101843,10.5,16693.0,4193.0,2074.0,12017.736550402007,182549.0
145,Tea,Uasin Gishu,None,Yes,18.28,10.7,7,1196.0,65.41537747867014,4.2,80871.0,46988.0,28600.0,,213288.0
146,Dairy,Uasin Gishu,Automated,No,6.11,5.8,1,964.0,71.28311788544295,29.5,41378.0,15878.0,11444.0,14338.819321330711,150686.0
147,Dairy,Uasin Gishu,Drip,Yes,4.77,10.9,3,831.0,66.37047636403602,22.9,49559.0,19223.0,7208.0,1110.6360432323863,393649.0
148,Horticulture,Meru,Manual,No,19.71,16.7,6,532.0,34.09864153621669,10.7,200812.0,35255.0,14855.0,14386.823730324186,326838.0
149,Maize,Other,Manual,Yes,9.01,3.5,2,821.0,52.99036604089111,5.4,119200.0,21394.0,11455.0,5630.107852530427,96124.0
150,Tea,Uasin Gishu,Automated,No,5.51,9.9,2,400.0,51.746628488618185,3.9,58960.0,9575.0,10984.0,6079.496779381183,175891.0
151,Horticulture,Kericho,Manual,Yes,3.91,19.6,2,981.0,87.42961979750064,23.4,30902.0,10807.0,7651.0,12409.268127363273,510308.0
152,Coffee,Meru,Automated,Yes,10.0,10.1,2,1327.0,61.552241657541174,22.0,102154.0,34571.0,12019.0,7385.619066683086,428848.0
153,Dairy,Kiambu,None,Yes,8.33,7.5,4,1017.0,58.25869174611276,9.3,49247.0,30732.0,5885.0,,117776.0
154,Horticulture,Uasin Gishu,Manual,Yes,4.77,16.9,2,1215.0,49.55401435399925,4.2,64843.0,8280.0,6692.0,2494.939763170523,369990.0
155,Maize,Other,Manual,No,11.52,16.1,3,470.0,76.80091173044421,6.9,144974.0,32153.0,20392.0,12868.69910160028,138871.0
156,Tea,Meru,None,Yes,7.67,16.9,1,1001.0,52.26887820273757,17.7,112481.0,24369.0,10579.0,,245195.0
157,Tea,Kericho,Drip,Yes,1.97,9.7,2,821.0,78.54769666536951,1.3,14808.0,8606.0,3669.0,1324.4893267522734,488378.0
158,Maize,Other,Automated,No,13.72,22.7,4,1004.0,68.98780097566376,12.6,175857.0,45258.0,20491.0,4639.242323783363,275928.0
159,Maize,Nakuru,None,No,11.28,10.5,3,915.0,53.10041483238568,19.9,152252.0,38480.0,20825.0,,153856.0
160,Maize,Kiambu,None,No,16.24,38.9,5,656.0,52.31393228118736,9.8,145902.0,38870.0,27742.0,,325192.0
161,Horticulture,Uasin Gishu,Drip,No,12.93,4.8,2,909.0,62.20550397492592,2.6,212293.0,35438.0,9021.0,15973.441921233962,131623.0
162,Coffee,Other,Automated,No,7.71,4.5,2,815.0,34.65032709742827,26.8,65959.0,33830.0,10115.0,10375.84139897748,189560.0
163,Horticulture,Kericho,Drip,Yes,3.43,20.4,0,1151.0,77.4778309170457,6.3,36157.0,12500.0,5789.0,7726.844717975557,535565.0
164,Coffee,Kiambu,Drip,Yes,5.92,4.0,1,628.0,51.36991595107519,3.7,33147.0,24211.0,8517.0,3572.547344456155,183971.0
165,Maize,Uasin Gishu,Manual,Yes,6.78,2.2,0,1020.0,53.32284998768343,12.2,39572.0,10624.0,11355.0,2663.763757678832,124934.0
166,Maize,Uasin Gishu,Manual,Yes,5.92,6.3,0,250.0,50.706027891209686,21.2,66259.0,19547.0,6095.0,10159.402513677203,120205.0
167,Tea,Kericho,Drip,Yes,2.05,14.2,0,647.0,54.67444241653346,16.8,32027.0,7844.0,4548.0,12186.650970168406,372208.0
168,Dairy,Other,None,Yes,15.42,14.1,5,1188.0,67.05817001284525,22.2,72440.0,49377.0,27678.0,,279078.0
169,Tea,Kiambu,None,No,13.33,4.0,2,883.0,55.31377334872876,21.4,91750.0,34513.0,23712.0,,114537.0
170,Maize,Kericho,None,No,5.29,16.4,1,1233.0,48.42907720014631,29.5,66798.0,16640.0,8162.0,,248643.0
171,Tea,Other,Manual,Yes,10.12,7.5,4,1205.0,44.345868307062396,8.7,103797.0,29138.0,12187.0,17074.735534106625,164624.0
172,Dairy,Kiambu,Manual,Yes,9.21,7.8,1,837.0,47.04793361726696,18.0,45518.0,19568.0,11548.0,13444.571323735669,351216.0
173,Tea,Uasin Gishu,Manual,Yes,3.38,14.6,2,1067.0,32.32395637782335,2.3,43491.0,9950.0,1523.0,12094.190169503265,292981.0
174,Dairy,Uasin Gishu,Manual,Yes,8.07,12.2,0,913.0,35.39143331810145,6.8,43672.0,39346.0,12835.0,9658.264689848453,130352.0
175,Coffee,Nakuru,Automated,No,3.9,20.3,1,620.0,57.88956693100503,2.2,29662.0,8478.0,2932.0,5079.280923367246,325153.0
176,Dairy,Kiambu,Drip,No,9.39,12.6,3,881.0,71.75006243431511,15.9,76999.0,27407.0,11220.0,5064.658483646217,402691.0
177,Dairy,Nakuru,Drip,Yes,1.38,3.4,0,863.0,75.00171656862362,13.0,0.0,4358.0,1252.0,12401.939543694001,278355.0
178,Maize,Nakuru,None,Yes,1.38,4.2,1,844.0,53.0948418215376,15.4,41418.0,3637.0,1585.0,,83525.0
179,Horticulture,Kericho,None,Yes,3.79,13.9,1,902.0,48.426181417305635,25.9,56561.0,11049.0,4731.0,,184269.0
180,Maize,Kiambu,Manual,Yes,4.07,10.0,1,765.0,65.35672152117367,1.3,34455.0,22036.0,7939.0,994.2128969180288,237092.0
181,Tea,Kericho,None,Yes,9.79,9.7,3,1267.0,,16.5,141188.0,37492.0,7699.0,,231332.0
182,Maize,Other,Drip,No,1.9,5.6,2,916.0,92.9257830618532,13.7,2199.0,7326.0,2339.0,7724.460072440206,179861.0
183,Tea,Other,None,Yes,2.43,8.1,2,1367.0,51.97012843912756,19.9,7460.0,6839.0,2958.0,,188906.0
184,Horticulture,Nakuru,Manual,Yes,10.27,6.6,3,902.0,83.87819720187863,21.3,75559.0,21115.0,19205.0,21764.90523577741,313758.0
185,Horticulture,Kericho,None,No,5.35,10.9,2,922.0,38.98750616711744,30.1,48658.0,11640.0,8570.0,,213365.0
186,Horticulture,Kiambu,Manual,No,9.86,4.6,2,973.0,68.15599936718523,5.0,88571.0,34640.0,19372.0,638.6849103966714,214946.0
187,Coffee,Other,Automated,No,8.09,12.8,2,1230.0,71.5711173123509,6.6,29733.0,23722.0,9659.0,20972.85875353674,146175.0
188,Coffee,Meru,None,Yes,5.06,16.3,0,1038.0,73.5051607489687,26.4,36719.0,8749.0,11072.0,,304649.0
189,Maize,Other,Automated,Yes,12.04,15.3,2,917.0,43.91309202209412,38.1,98152.0,17748.0,11603.0,11709.899735732513,231404.0
190,Horticulture,Nakuru,Automated,Yes,17.29,3.6,7,825.0,79.62857312984536,9.4,207102.0,25201.0,26507.0,7216.48336145492,331673.0
191,Maize,Other,Drip,Yes,4.61,15.3,5,1071.0,42.612558579548455,12.8,48832.0,21455.0,7867.0,13529.860271442667,198445.0
192,Horticulture,Uasin Gishu,None,Yes,5.6,8.8,1,983.0,72.6269259430223,57.5,36840.0,22919.0,650.0,,150286.0
193,Tea,Nakuru,Drip,No,7.95,7.6,2,848.0,30.027346982073563,34.6,92636.0,18425.0,13095.0,6702.496914596526,639857.0
194,Dairy,Meru,Manual,Yes,1.74,14.0,0,988.0,90.53390686301316,2.6,2028.0,5791.0,542.0,1376.4629601376782,181507.0
195,Tea,Uasin Gishu,None,No,4.17,22.6,1,1046.0,64.22033500175219,3.0,45974.0,17994.0,11174.0,,237310.0
196,Tea,Nakuru,Automated,No,3.79,6.3,0,1134.0,31.85180631600143,31.2,33505.0,12338.0,5331.0,13150.17591271448,129435.0
